Genesis 1:1	In the beginning God created the heaven and the earth.
Luke 3:25	Which was the son of Mattathias, which was the son of Amos, which was the son of Naum, which was the son of Esli, which was the son of Nagge,
Luke 3:35	Which was the son of Saruch, which was the son of Ragau, which was the son of Phalec, which was the son of Heber, which was the son of Sala,
Luke 4:7	If thou therefore wilt worship me, all shall be thine.
Luke 4:17	And there was delivered unto him the book of the prophet Esaias. And when he had opened the book, he found the place where it was written,
Luke 4:27	And many lepers were in Israel in the time of Eliseus the prophet; and none of them was cleansed, saving Naaman the Syrian.
Luke 4:37	And the fame of him went out into every place of the country round about.
Luke 5:3	And he entered into one of the ships, which was Simon's, and prayed him that he would thrust out a little from the land. And he sat down, and taught the people out of the ship.
Luke 5:13	And he put forth his hand, and touched him, saying, I will: be thou clean. And immediately the leprosy departed from him.
Luke 5:23	Whether is easier, to say, Thy sins be forgiven thee; or to say, Rise up and walk?
Luke 5:33	And they said unto him, Why do the disciples of John fast often, and make prayers, and likewise the disciples of the Pharisees; but thine eat and drink?
Luke 6:4	How he went into the house of God, and did take and eat the shewbread, and gave also to them that were with him; which it is not lawful to eat but for the priests alone?
Luke 6:14	Simon, (whom he also named Peter,) and Andrew his brother, James and John, Philip and Bartholomew,
Luke 6:24	But woe unto you that are rich! for ye have received your consolation.
Luke 6:34	And if ye lend to them of whom ye hope to receive, what thank have ye? for sinners also lend to sinners, to receive as much again.
Luke 6:44	For every tree is known by his own fruit. For of thorns men do not gather figs, nor of a bramble bush gather they grapes.
Luke 7:5	For he loveth our nation, and he hath built us a synagogue.
Luke 7:15	And he that was dead sat up, and began to speak. And he delivered him to his mother.
Luke 7:25	But what went ye out for to see? A man clothed in soft raiment? Behold, they which are gorgeously apparelled, and live delicately, are in kings' courts.
Luke 7:35	But wisdom is justified of all her children.
Luke 7:45	Thou gavest me no kiss: but this woman since the time I came in hath not ceased to kiss my feet.
Luke 8:5	A sower went out to sow his seed: and as he sowed, some fell by the way side; and it was trodden down, and the fowls of the air devoured it.
Luke 8:15	But that on the good ground are they, which in an honest and good heart, having heard the word, keep it, and bring forth fruit with patience.
Luke 8:25	And he said unto them, Where is your faith? And they being afraid wondered, saying one to another, What manner of man is this! for he commandeth even the winds and water, and they obey him.
Luke 8:35	Then they went out to see what was done; and came to Jesus, and found the man, out of whom the devils were departed, sitting at the feet of Jesus, clothed, and in his right mind: and they were afraid.
Luke 8:45	And Jesus said, Who touched me? When all denied, Peter and they that were with him said, Master, the multitude throng thee and press thee, and sayest thou, Who touched me?
Luke 8:55	And her spirit came again, and she arose straightway: and he commanded to give her meat.
Luke 9:9	And Herod said, John have I beheaded: but who is this, of whom I hear such things? And he desired to see him.
Luke 9:19	They answering said, John the Baptist; but some say, Elias; and others say, that one of the old prophets is risen again.
Luke 9:29	And as he prayed, the fashion of his countenance was altered, and his raiment was white and glistering.
Luke 9:39	And, lo, a spirit taketh him, and he suddenly crieth out; and it teareth him that he foameth again, and bruising him hardly departeth from him.
Luke 9:49	And John answered and said, Master, we saw one casting out devils in thy name; and we forbad him, because he followeth not with us.
Luke 9:59	And he said unto another, Follow me. But he said, Lord, suffer me first to go and bury my father.
Luke 10:7	And in the same house remain, eating and drinking such things as they give: for the labourer is worthy of his hire. Go not from house to house.
Luke 10:17	And the seventy returned again with joy, saying, Lord, even the devils are subject unto us through thy name.
Luke 10:27	And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself.
Luke 10:37	And he said, He that shewed mercy on him. Then said Jesus unto him, Go, and do thou likewise.
Luke 11:5	And he said unto them, Which of you shall have a friend, and shall go unto him at midnight, and say unto him, Friend, lend me three loaves;
Luke 11:15	But some of them said, He casteth out devils through Beelzebub the chief of the devils.
Luke 11:25	And when he cometh, he findeth it swept and garnished.
Luke 11:35	Take heed therefore that the light which is in thee be not darkness.
Luke 11:45	Then answered one of the lawyers, and said unto him, Master, thus saying thou reproachest us also.
Luke 12:1	In the mean time, when there were gathered together an innumerable multitude of people, insomuch that they trode one upon another, he began to say unto his disciples first of all, Beware ye of the leaven of the Pharisees, which is hypocrisy.
Luke 12:11	And when they bring you unto the synagogues, and unto magistrates, and powers, take ye no thought how or what thing ye shall answer, or what ye shall say:
Luke 12:21	So is he that layeth up treasure for himself, and is not rich toward God.
Luke 12:31	But rather seek ye the kingdom of God; and all these things shall be added unto you.
Luke 12:41	Then Peter said unto him, Lord, speakest thou this parable unto us, or even to all?
Luke 12:51	Suppose ye that I am come to give peace on earth? I tell you, Nay; but rather division:
Luke 13:2	And Jesus answering said unto them, Suppose ye that these Galilaeans were sinners above all the Galilaeans, because they suffered such things?
Luke 13:12	And when Jesus saw her, he called her to him, and said unto her, Woman, thou art loosed from thine infirmity.
Luke 13:22	And he went through the cities and villages, teaching, and journeying toward Jerusalem.
Luke 13:32	And he said unto them, Go ye, and tell that fox, Behold, I cast out devils, and I do cures to day and to morrow, and the third day I shall be perfected.
Luke 14:7	And he put forth a parable to those which were bidden, when he marked how they chose out the chief rooms; saying unto them.
Luke 14:17	And sent his servant at supper time to say to them that were bidden, Come; for all things are now ready.
Luke 14:27	And whosoever doth not bear his cross, and come after me, cannot be my disciple.
Luke 15:2	And the Pharisees and scribes murmured, saying, This man receiveth sinners, and eateth with them.
Luke 15:12	And the younger of them said to his father, Father, give me the portion of goods that falleth to me. And he divided unto them his living.
Luke 15:22	But the father said to his servants, Bring forth the best robe, and put it on him; and put a ring on his hand, and shoes on his feet:
Luke 15:32	It was meet that we should make merry, and be glad: for this thy brother was dead, and is alive again; and was lost, and is found.
Luke 16:10	He that is faithful in that which is least is faithful also in much: and he that is unjust in the least is unjust also in much.
Luke 16:20	And there was a certain beggar named Lazarus, which was laid at his gate, full of sores,
