Genesis 1:3	And God said, Let there be light: and there was light.
Luke 10:9	And heal the sick that are therein, and say unto them, The kingdom of God is come nigh unto you.
Luke 10:19	Behold, I give unto you power to tread on serpents and scorpions, and over all the power of the enemy: and nothing shall by any means hurt you.
Luke 10:29	But he, willing to justify himself, said unto Jesus, And who is my neighbour?
Luke 10:39	And she had a sister called Mary, which also sat at Jesus' feet, and heard his word.
Luke 11:7	And he from within shall answer and say, Trouble me not: the door is now shut, and my children are with me in bed; I cannot rise and give thee.
Luke 11:17	But he, knowing their thoughts, said unto them, Every kingdom divided against itself is brought to desolation; and a house divided against a house falleth.
Luke 11:27	And it came to pass, as he spake these things, a certain woman of the company lifted up her voice, and said unto him, Blessed is the womb that bare thee, and the paps which thou hast sucked.
Luke 11:37	And as he spake, a certain Pharisee besought him to dine with him: and he went in, and sat down to meat.
Luke 11:47	Woe unto you! for ye build the sepulchres of the prophets, and your fathers killed them.
Luke 12:3	Therefore whatsoever ye have spoken in darkness shall be heard in the light; and that which ye have spoken in the ear in closets shall be proclaimed upon the housetops.
Luke 12:13	And one of the company said unto him, Master, speak to my brother, that he divide the inheritance with me.
Luke 12:23	The life is more than meat, and the body is more than raiment.
Luke 12:33	Sell that ye have, and give alms; provide yourselves bags which wax not old, a treasure in the heavens that faileth not, where no thief approacheth, neither moth corrupteth.
Luke 12:43	Blessed is that servant, whom his lord when he cometh shall find so doing.
Luke 12:53	The father shall be divided against the son, and the son against the father; the mother against the daughter, and the daughter against the mother; the mother in law against her daughter in law, and the daughter in law against her mother in law.
Luke 13:4	Or those eighteen, upon whom the tower in Siloam fell, and slew them, think ye that they were sinners above all men that dwelt in Jerusalem?
Luke 13:14	And the ruler of the synagogue answered with indignation, because that Jesus had healed on the sabbath day, and said unto the people, There are six days in which men ought to work: in them therefore come and be healed, and not on the sabbath day.
Luke 13:24	Strive to enter in at the strait gate: for many, I say unto you, will seek to enter in, and shall not be able.
Luke 13:34	O Jerusalem, Jerusalem, which killest the prophets, and stonest them that are sent unto thee; how often would I have gathered thy children together, as a hen doth gather her brood under her wings, and ye would not!
Luke 14:9	And he that bade thee and him come and say to thee, Give this man place; and thou begin with shame to take the lowest room.
Luke 14:19	And another said, I have bought five yoke of oxen, and I go to prove them: I pray thee have me excused.
Luke 14:29	Lest haply, after he hath laid the foundation, and is not able to finish it, all that behold it begin to mock him,
Luke 15:4	What man of you, having an hundred sheep, if he lose one of them, doth not leave the ninety and nine in the wilderness, and go after that which is lost, until he find it?
Luke 15:14	And when he had spent all, there arose a mighty famine in that land; and he began to be in want.
Luke 15:24	For this my son was dead, and is alive again; he was lost, and is found. And they began to be merry.
Luke 16:2	And he called him, and said unto him, How is it that I hear this of thee? give an account of thy stewardship; for thou mayest be no longer steward.
Luke 16:12	And if ye have not been faithful in that which is another man's, who shall give you that which is your own?
Luke 16:22	And it came to pass, that the beggar died, and was carried by the angels into Abraham's bosom: the rich man also died, and was buried;
Luke 17:1	Then said he unto the disciples, It is impossible but that offences will come: but woe unto him, through whom they come!
Luke 17:11	And it came to pass, as he went to Jerusalem, that he passed through the midst of Samaria and Galilee.
Luke 17:21	Neither shall they say, Lo here! or, lo there! for, behold, the kingdom of God is within you.
Luke 17:31	In that day, he which shall be upon the housetop, and his stuff in the house, let him not come down to take it away: and he that is in the field, let him likewise not return back.
Luke 18:4	And he would not for a while: but afterward he said within himself, Though I fear not God, nor regard man;
Luke 18:14	I tell you, this man went down to his house justified rather than the other: for every one that exalteth himself shall be abased; and he that humbleth himself shall be exalted.
Luke 18:24	And when Jesus saw that he was very sorrowful, he said, How hardly shall they that have riches enter into the kingdom of God!
Luke 18:34	And they understood none of these things: and this saying was hid from them, neither knew they the things which were spoken.
Luke 19:1	And Jesus entered and passed through Jericho.
Luke 19:11	And as they heard these things, he added and spake a parable, because he was nigh to Jerusalem, and because they thought that the kingdom of God should immediately appear.
Luke 19:21	For I feared thee, because thou art an austere man: thou takest up that thou layedst not down, and reapest that thou didst not sow.
Luke 19:31	And if any man ask you, Why do ye loose him? thus shall ye say unto him, Because the Lord hath need of him.
Luke 19:41	And when he was come near, he beheld the city, and wept over it,
Luke 20:3	And he answered and said unto them, I will also ask you one thing; and answer me:
Luke 20:13	Then said the lord of the vineyard, What shall I do? I will send my beloved son: it may be they will reverence him when they see him.
Luke 20:23	But he perceived their craftiness, and said unto them, Why tempt ye me?
Luke 20:33	Therefore in the resurrection whose wife of them is she? for seven had her to wife.
Luke 20:43	Till I make thine enemies thy footstool.
Luke 21:6	As for these things which ye behold, the days will come, in the which there shall not be left one stone upon another, that shall not be thrown down.
Luke 21:16	And ye shall be betrayed both by parents, and brethren, and kinsfolks, and friends; and some of you shall they cause to be put to death.
Luke 21:26	Men's hearts failing them for fear, and for looking after those things which are coming on the earth: for the powers of heaven shall be shaken.
Luke 21:36	Watch ye therefore, and pray always, that ye may be accounted worthy to escape all these things that shall come to pass, and to stand before the Son of man.
Luke 22:8	And he sent Peter and John, saying, Go and prepare us the passover, that we may eat.
Luke 22:18	For I say unto you, I will not drink of the fruit of the vine, until the kingdom of God shall come.
Luke 22:28	Ye are they which have continued with me in my temptations.
Luke 22:38	And they said, Lord, behold, here are two swords. And he said unto them, It is enough.
